ID,Transect,Station,Lon (°W),Lat (°N),Depth (m),Plankton
1,1,"1",-151.875,59.203,33,0
2,1,"2",-151.89,59.19,40,0
3,1,"3",-151.905,59.177,38,0
4,1,"4",-151.92,59.157,71,0
5,1,"5",-151.952,59.122,123,0
6,1,"6",-151.983,59.087,199,0
7,1,"7",-152.015,59.052,202,0
8,1,"8",-152.047,59.02,217,0
9,1,"9",-152.078,58.988,125,0
10,1,"10",-152.11,58.957,57,0
11,1,"11",-152.142,58.925,84,0
12,1,"12",-152.167,58.893,73,0
13,1,"13",-152.187,58.862,88,0
14,1,"14",-152.207,58.83,124,0
15,1,"15",-152.227,58.798,121,0
16,1,"16",-152.247,58.767,120,0
17,1,"17",-152.267,58.735,122,0
18,1,"18",-152.287,58.703,123,0
19,1,"19",-152.298,58.69,89,0
20,1,"20",-152.31,58.677,143,0
21,1,"21",-152.322,58.663,137,0
22,1,"22",-152.333,58.65,103,0
23,2,"1",-152.633,58.613,32,0
24,2,"2",-152.662,58.623,54,0
25,2,"3",-152.685,58.635,94,0
26,2,"4",-152.707,58.643,218,0
27,2,"5",-152.767,58.665,194,0
28,2,"6",-152.817,58.687,164,0
29,2,"7",-152.868,58.703,161,0
30,2,"8",-152.92,58.722,146,0
31,2,"9",-152.973,58.742,153,0
32,2,"10",-153.027,58.76,178,0
33,2,"11",-153.08,58.78,169,0
34,2,"12",-153.133,58.789,195,0
35,2,"13",-153.158,58.812,202,0
36,2,"14",-153.187,58.82,180,0
37,2,"15",-153.213,58.83,113,0
38,2,"16",-153.24,58.838,35,0
39,3,"1",-152.567,60.007,24,0
40,3,"2",-152.537,59.997,32,0
41,3,"3",-152.51,59.987,35,0
42,3,"4",-152.482,59.987,33,1
43,3,"5",-152.422,59.957,27,0
44,3,"6",-152.368,59.938,52,0
45,3,"7",-152.308,59.918,112,0
46,3,"8",-152.253,59.9,82,1
47,3,"9",-152.2,59.88,73,0
48,3,"10",-152.145,59.863,52,0
49,3,"11",-152.093,59.845,40,0
50,3,"12",-152.04,59.827,38,0
51,3,"13",-151.987,59.81,35,1
52,3,"14",-151.958,59.798,29,0
53,3,"15",-151.935,59.79,22,0
54,3,"16",-151.905,59.78,14,0
55,3,"17",-151.883,59.772,12,0
56,4,"1",-151.65,59.492,21,0
57,4,"2",-151.65,59.508,102,1
58,4,"3",-151.65,59.525,107,0
59,4,"4",-151.65,59.542,86,1
60,4,"5",-151.65,59.558,76,0
61,4,"6",-151.65,59.575,63,0
62,4,"7",-151.65,59.592,35,1
63,4,"8",-151.65,59.608,29,0
64,4,"9",-151.65,59.625,27,0
65,4,"10",-151.65,59.492,10,0
66,5,"1",-151.417,60.717,38,0
67,5,"2",-151.45,60.717,24,0
68,5,"3",-151.483,60.717,21,0
69,5,"4",-151.517,60.717,26,0
70,5,"5",-151.55,60.717,29,0
71,5,"6",-151.583,60.717,61,0
72,5,"7",-151.617,60.717,124,0
73,5,"8",-151.65,60.717,29,0
74,5,"9",-151.683,60.717,9,0
75,6,"1",-151.925,59.212,36,0
76,6,"2",-151.952,59.205,52,0
77,6,"3",-151.98,59.197,104,0
78,6,"4",-152.007,59.19,106,0
79,6,"5",-152.062,59.175,105,1
